,index,election_year,state_x,transaction_amt,totalspend_yr_st,spend_share,election_year_ds,party_simplified,candidatevotes,percentvote,writein_sum,totalvotes,writein_mean,won,region,battleground_bool,battleground_margin_avg_pct,shift_bool,shift_int,bellweather_bool,bellweather_pct,swing,democrat_lean_pct,percent_of_total_spend,spend_per_vote
478,478,2020,TX,10278060.57,17661714.15,58.19401493,11/1/20,DEMOCRAT,5259126,46.47900991,0,11315056,0,0,SOUTHWEST,FALSE,20,FALSE,0,FALSE,50,FALSE,0,22.35,195.4328641
479,479,2020,TX,4593.77,17661714.15,0.026009763,11/1/20,OTHER,165583,1.463386483,9,11315056,0.818181818,0,SOUTHWEST,FALSE,20,FALSE,0,FALSE,50,FALSE,0,8.8,2.774300497
480,480,2020,TX,7379059.81,17661714.15,41.7799753,11/1/20,REPUBLICAN,5890347,52.0576036,0,11315056,0,1,SOUTHWEST,FALSE,20,FALSE,0,FALSE,50,FALSE,0,97.88,125.273771
481,481,2020,UT,41748.82,81854.32,51.00380774,11/1/20,DEMOCRAT,560282,37.64604858,0,1488289,0,0,ROCKY MOUNTAINS,FALSE,20,FALSE,0,FALSE,50,FALSE,0,22.35,7.451394119
482,482,2020,UT,39485,81854.32,48.23813819,11/1/20,OTHER,62867,4.224112387,9,1488289,0.75,0,ROCKY MOUNTAINS,FALSE,20,FALSE,0,FALSE,50,FALSE,0,8.8,62.80719614
483,483,2020,UT,620.5,81854.32,0.758054065,11/1/20,REPUBLICAN,865140,58.12983903,0,1488289,0,1,ROCKY MOUNTAINS,FALSE,20,FALSE,0,FALSE,50,FALSE,0,97.88,0.071722496
484,484,2020,VA,46276324.25,557215843.7,8.30491896,11/1/20,DEMOCRAT,2413568,54.10951718,0,4460524,0,1,SOUTHEAST,TRUE,5.45,TRUE,1,FALSE,71.43,FALSE,42.86,22.35,1917.34081
485,485,2020,VA,2125,557215843.7,0.00038136,11/1/20,OTHER,84526,1.894979155,1,4460524,0.5,0,SOUTHEAST,TRUE,5.45,TRUE,1,FALSE,71.43,FALSE,42.86,8.8,2.514017393
486,486,2020,VA,510937394.4,557215843.7,91.69469968,11/1/20,REPUBLICAN,1962430,43.99550367,0,4460524,0,0,SOUTHEAST,TRUE,5.45,TRUE,1,FALSE,71.43,FALSE,42.86,97.88,26035.95514
487,487,2020,VT,32533.1,32533.1,100,11/1/20,DEMOCRAT,242820,65.45578055,0,370968,0,1,NORTHEAST,FALSE,20,FALSE,0,FALSE,50,FALSE,100,22.35,13.39803146
488,488,2020,WA,1750558.89,1780320.32,98.32831038,11/1/20,DEMOCRAT,2369612,57.97030114,0,4087631,0,1,PACIFIC COAST,FALSE,20,FALSE,0,FALSE,50,FALSE,100,0.47,73.87533866
489,489,2020,WA,28910.37,1780320.32,1.623885863,11/1/20,OTHER,133368,3.262721121,1,4087631,0.2,0,PACIFIC COAST,FALSE,20,FALSE,0,FALSE,50,FALSE,100,17.39,21.67714144
490,490,2020,WA,851.06,1780320.32,0.047803757,11/1/20,REPUBLICAN,1584651,38.76697774,0,4087631,0,0,PACIFIC COAST,FALSE,20,FALSE,0,FALSE,50,FALSE,100,1.4,0.053706463
491,491,2020,WI,271265.66,283765.66,95.59495677,11/1/20,DEMOCRAT,1630866,49.44953686,0,3298041,0,1,MIDWEST,TRUE,5.26,TRUE,1,FALSE,71.43,FALSE,14.29,0.47,16.63322799
492,492,2020,WI,1000,283765.66,0.352403459,11/1/20,OTHER,56991,1.728025819,8,3298041,0.727272727,0,MIDWEST,TRUE,5.26,TRUE,1,FALSE,71.43,FALSE,14.29,17.39,1.754663019
493,493,2020,WI,11500,283765.66,4.052639773,11/1/20,REPUBLICAN,1610184,48.82243732,0,3298041,0,0,MIDWEST,TRUE,5.26,TRUE,1,FALSE,71.43,FALSE,14.29,1.4,0.714204091
494,494,2020,WV,6279,7779,80.71731585,11/1/20,DEMOCRAT,235984,29.69652124,0,794652,0,0,SOUTHEAST,FALSE,20,TRUE,1,TRUE,71.43,TRUE,28.57,0.47,2.660773612
495,495,2020,WV,1500,7779,19.28268415,11/1/20,OTHER,13286,1.671926831,0,794652,0,0,SOUTHEAST,FALSE,20,TRUE,1,TRUE,71.43,TRUE,28.57,17.39,11.29007978
